Operation{accountId=3226, type=DEPOSIT, value=7554}
Operation{accountId=4046, type=DEPOSIT, value=9659}
Operation{accountId=2886, type=DEPOSIT, value=495}
Operation{accountId=6779, type=DEPOSIT, value=9754}
Operation{accountId=5503, type=DEPOSIT, value=8887}
Operation{accountId=2828, type=DEPOSIT, value=5492}
Operation{accountId=8176, type=DEPOSIT, value=5288}
Operation{accountId=7775, type=DEPOSIT, value=2785}
Operation{accountId=9514, type=DEPOSIT, value=9891}
Operation{accountId=6581, type=DEPOSIT, value=8468}
Operation{accountId=9328, type=DEPOSIT, value=430}
Operation{accountId=5090, type=DEPOSIT, value=6837}
Operation{accountId=6623, type=DEPOSIT, value=7764}
Operation{accountId=4984, type=DEPOSIT, value=2093}
Operation{accountId=4455, type=DEPOSIT, value=57}
Operation{accountId=7099, type=DEPOSIT, value=2186}
Operation{accountId=6650, type=DEPOSIT, value=1579}
Operation{accountId=225, type=DEPOSIT, value=9378}
Operation{accountId=1535, type=DEPOSIT, value=4389}
Operation{accountId=5656, type=DEPOSIT, value=6421}
Operation{accountId=4307, type=DEPOSIT, value=3069}
Operation{accountId=3475, type=DEPOSIT, value=4203}
Operation{accountId=9966, type=DEPOSIT, value=509}
Operation{accountId=2259, type=DEPOSIT, value=300}
Operation{accountId=1325, type=DEPOSIT, value=7951}
Operation{accountId=7374, type=DEPOSIT, value=2030}
Operation{accountId=7122, type=DEPOSIT, value=4353}
Operation{accountId=8478, type=DEPOSIT, value=761}
Operation{accountId=6484, type=DEPOSIT, value=663}
Operation{accountId=3704, type=DEPOSIT, value=7943}
Operation{accountId=387, type=DEPOSIT, value=8496}
Operation{accountId=9559, type=DEPOSIT, value=4119}
Operation{accountId=8572, type=DEPOSIT, value=417}
Operation{accountId=6550, type=DEPOSIT, value=3968}
Operation{accountId=8981, type=DEPOSIT, value=3470}
Operation{accountId=6695, type=DEPOSIT, value=8323}
Operation{accountId=7175, type=DEPOSIT, value=8551}
Operation{accountId=2226, type=DEPOSIT, value=7081}
Operation{accountId=7413, type=DEPOSIT, value=8095}
Operation{accountId=9932, type=DEPOSIT, value=1947}
Operation{accountId=9037, type=DEPOSIT, value=9335}
Operation{accountId=5523, type=DEPOSIT, value=7233}
Operation{accountId=5657, type=DEPOSIT, value=9017}
Operation{accountId=708, type=DEPOSIT, value=5058}
Operation{accountId=5666, type=DEPOSIT, value=5409}
Operation{accountId=7802, type=DEPOSIT, value=3658}
Operation{accountId=7363, type=DEPOSIT, value=4694}
Operation{accountId=5236, type=DEPOSIT, value=6457}
Operation{accountId=6293, type=DEPOSIT, value=5206}
Operation{accountId=5313, type=DEPOSIT, value=696}
Operation{accountId=300, type=DEPOSIT, value=8143}
Operation{accountId=7546, type=DEPOSIT, value=5687}
Operation{accountId=3517, type=DEPOSIT, value=5626}
Operation{accountId=2236, type=DEPOSIT, value=5586}
Operation{accountId=634, type=DEPOSIT, value=9297}
Operation{accountId=9296, type=DEPOSIT, value=7650}
Operation{accountId=3068, type=DEPOSIT, value=4193}
Operation{accountId=5897, type=DEPOSIT, value=9775}
Operation{accountId=8796, type=DEPOSIT, value=6971}
Operation{accountId=7498, type=DEPOSIT, value=9747}
Operation{accountId=2078, type=DEPOSIT, value=6085}
Operation{accountId=2609, type=DEPOSIT, value=3594}
Operation{accountId=2698, type=DEPOSIT, value=7726}
Operation{accountId=3956, type=DEPOSIT, value=2422}
Operation{accountId=104, type=DEPOSIT, value=5566}
Operation{accountId=7270, type=DEPOSIT, value=4559}
Operation{accountId=311, type=DEPOSIT, value=8459}
Operation{accountId=2070, type=DEPOSIT, value=2119}
Operation{accountId=3419, type=DEPOSIT, value=3592}
Operation{accountId=2069, type=DEPOSIT, value=7659}
Operation{accountId=4321, type=DEPOSIT, value=8136}
Operation{accountId=5778, type=DEPOSIT, value=4965}
Operation{accountId=7839, type=DEPOSIT, value=8368}
Operation{accountId=3, type=DEPOSIT, value=2510}
Operation{accountId=3469, type=DEPOSIT, value=6811}
Operation{accountId=770, type=DEPOSIT, value=4754}
Operation{accountId=1178, type=DEPOSIT, value=3383}
Operation{accountId=7330, type=DEPOSIT, value=8316}
Operation{accountId=1645, type=DEPOSIT, value=8364}
Operation{accountId=4812, type=DEPOSIT, value=9232}
Operation{accountId=7273, type=DEPOSIT, value=1341}
Operation{accountId=9002, type=DEPOSIT, value=1319}
Operation{accountId=9707, type=DEPOSIT, value=2711}
Operation{accountId=7983, type=DEPOSIT, value=885}
Operation{accountId=5795, type=DEPOSIT, value=646}
Operation{accountId=7010, type=DEPOSIT, value=102}
Operation{accountId=4701, type=DEPOSIT, value=2935}
Operation{accountId=1013, type=DEPOSIT, value=1143}
Operation{accountId=6475, type=DEPOSIT, value=3336}
Operation{accountId=3878, type=DEPOSIT, value=818}
Operation{accountId=1569, type=DEPOSIT, value=1020}
Operation{accountId=241, type=DEPOSIT, value=9441}
Operation{accountId=7996, type=DEPOSIT, value=8826}
Operation{accountId=9167, type=DEPOSIT, value=4339}
Operation{accountId=7871, type=DEPOSIT, value=9285}
Operation{accountId=7888, type=DEPOSIT, value=4668}
Operation{accountId=4716, type=DEPOSIT, value=3719}
Operation{accountId=8481, type=DEPOSIT, value=6902}
Operation{accountId=2812, type=DEPOSIT, value=662}
Operation{accountId=5065, type=DEPOSIT, value=2902}
Operation{accountId=9659, type=DEPOSIT, value=9656}
Operation{accountId=6806, type=DEPOSIT, value=7625}
Operation{accountId=1635, type=DEPOSIT, value=531}
Operation{accountId=4431, type=DEPOSIT, value=1278}
Operation{accountId=7779, type=DEPOSIT, value=5597}
Operation{accountId=501, type=DEPOSIT, value=9837}
Operation{accountId=9099, type=DEPOSIT, value=5458}
Operation{accountId=7291, type=DEPOSIT, value=724}
Operation{accountId=6679, type=DEPOSIT, value=7556}
Operation{accountId=3855, type=DEPOSIT, value=7795}
Operation{accountId=1878, type=DEPOSIT, value=2381}
Operation{accountId=4868, type=DEPOSIT, value=3197}
Operation{accountId=4726, type=DEPOSIT, value=2944}
Operation{accountId=3501, type=DEPOSIT, value=2639}
Operation{accountId=1629, type=DEPOSIT, value=2173}
Operation{accountId=7512, type=DEPOSIT, value=7037}
Operation{accountId=9366, type=DEPOSIT, value=1651}
Operation{accountId=853, type=DEPOSIT, value=7400}
Operation{accountId=2518, type=DEPOSIT, value=9567}
Operation{accountId=3682, type=DEPOSIT, value=7180}
Operation{accountId=6107, type=DEPOSIT, value=1939}
Operation{accountId=3284, type=DEPOSIT, value=1173}
Operation{accountId=7808, type=DEPOSIT, value=8930}
Operation{accountId=1316, type=DEPOSIT, value=209}
Operation{accountId=4127, type=DEPOSIT, value=7976}
Operation{accountId=8996, type=DEPOSIT, value=5472}
Operation{accountId=2132, type=DEPOSIT, value=1607}
Operation{accountId=9148, type=DEPOSIT, value=7529}
Operation{accountId=6393, type=DEPOSIT, value=6588}
Operation{accountId=1973, type=DEPOSIT, value=1463}
Operation{accountId=3283, type=DEPOSIT, value=7631}
Operation{accountId=496, type=DEPOSIT, value=8464}
Operation{accountId=2840, type=DEPOSIT, value=7897}
Operation{accountId=2516, type=DEPOSIT, value=8517}
Operation{accountId=7804, type=DEPOSIT, value=9168}
Operation{accountId=899, type=DEPOSIT, value=5045}
Operation{accountId=7159, type=DEPOSIT, value=1582}
Operation{accountId=8680, type=DEPOSIT, value=7805}
Operation{accountId=6660, type=DEPOSIT, value=8992}
Operation{accountId=128, type=DEPOSIT, value=970}
Operation{accountId=7384, type=DEPOSIT, value=1722}
Operation{accountId=2994, type=DEPOSIT, value=4367}
Operation{accountId=2253, type=DEPOSIT, value=2120}
Operation{accountId=6587, type=DEPOSIT, value=2434}
Operation{accountId=4683, type=DEPOSIT, value=8191}
Operation{accountId=5066, type=DEPOSIT, value=9824}
Operation{accountId=5634, type=DEPOSIT, value=2833}
Operation{accountId=5461, type=DEPOSIT, value=4865}
Operation{accountId=134, type=DEPOSIT, value=6048}
Operation{accountId=9814, type=DEPOSIT, value=614}
Operation{accountId=5495, type=DEPOSIT, value=3994}
Operation{accountId=1446, type=DEPOSIT, value=1023}
Operation{accountId=6667, type=DEPOSIT, value=4066}
Operation{accountId=8917, type=DEPOSIT, value=7529}
Operation{accountId=6043, type=DEPOSIT, value=3247}
Operation{accountId=7299, type=DEPOSIT, value=5941}
Operation{accountId=647, type=DEPOSIT, value=1438}
Operation{accountId=5853, type=DEPOSIT, value=7667}
Operation{accountId=9158, type=DEPOSIT, value=2115}
Operation{accountId=5767, type=DEPOSIT, value=7517}
Operation{accountId=735, type=DEPOSIT, value=4573}
Operation{accountId=6818, type=DEPOSIT, value=2576}
Operation{accountId=8045, type=DEPOSIT, value=7559}
Operation{accountId=9499, type=DEPOSIT, value=5157}
Operation{accountId=3202, type=DEPOSIT, value=3114}
Operation{accountId=7264, type=DEPOSIT, value=911}
Operation{accountId=4555, type=DEPOSIT, value=8320}
Operation{accountId=4031, type=DEPOSIT, value=4748}
Operation{accountId=1356, type=DEPOSIT, value=4963}
Operation{accountId=205, type=DEPOSIT, value=7438}
Operation{accountId=3448, type=DEPOSIT, value=6068}
Operation{accountId=5568, type=DEPOSIT, value=1476}
Operation{accountId=2382, type=DEPOSIT, value=6168}
Operation{accountId=970, type=DEPOSIT, value=1009}
Operation{accountId=7251, type=DEPOSIT, value=9197}
Operation{accountId=3474, type=DEPOSIT, value=3326}
Operation{accountId=2393, type=DEPOSIT, value=1626}
Operation{accountId=9169, type=DEPOSIT, value=3451}
Operation{accountId=7625, type=DEPOSIT, value=3188}
Operation{accountId=6293, type=DEPOSIT, value=2416}
Operation{accountId=3314, type=DEPOSIT, value=6028}
Operation{accountId=3141, type=DEPOSIT, value=1490}
Operation{accountId=941, type=DEPOSIT, value=6502}
Operation{accountId=7778, type=DEPOSIT, value=1730}
Operation{accountId=1852, type=DEPOSIT, value=8277}
Operation{accountId=6614, type=DEPOSIT, value=2207}
Operation{accountId=9183, type=DEPOSIT, value=5266}
Operation{accountId=9773, type=DEPOSIT, value=1579}
Operation{accountId=3827, type=DEPOSIT, value=3612}
Operation{accountId=3388, type=DEPOSIT, value=8939}
Operation{accountId=1688, type=DEPOSIT, value=7561}
Operation{accountId=4290, type=DEPOSIT, value=8168}
Operation{accountId=1501, type=DEPOSIT, value=4314}
Operation{accountId=4521, type=DEPOSIT, value=259}
Operation{accountId=5209, type=DEPOSIT, value=6588}
Operation{accountId=3033, type=DEPOSIT, value=2150}
Operation{accountId=7785, type=DEPOSIT, value=8219}
Operation{accountId=7770, type=DEPOSIT, value=3109}
Operation{accountId=6193, type=DEPOSIT, value=8817}
Operation{accountId=6195, type=DEPOSIT, value=867}
Operation{accountId=6113, type=DEPOSIT, value=9372}
Operation{accountId=3876, type=DEPOSIT, value=6256}
Operation{accountId=9094, type=DEPOSIT, value=4190}
Operation{accountId=3132, type=DEPOSIT, value=960}
Operation{accountId=7721, type=DEPOSIT, value=9054}
Operation{accountId=5400, type=DEPOSIT, value=583}
Operation{accountId=4168, type=DEPOSIT, value=3484}
Operation{accountId=681, type=DEPOSIT, value=6385}
Operation{accountId=9663, type=DEPOSIT, value=8801}
Operation{accountId=5505, type=DEPOSIT, value=9470}
Operation{accountId=3987, type=DEPOSIT, value=5876}
Operation{accountId=3225, type=DEPOSIT, value=3834}
Operation{accountId=4347, type=DEPOSIT, value=5657}
Operation{accountId=66, type=DEPOSIT, value=59}
Operation{accountId=5003, type=DEPOSIT, value=6389}
Operation{accountId=5270, type=DEPOSIT, value=5411}
Operation{accountId=9390, type=DEPOSIT, value=8237}
Operation{accountId=5210, type=DEPOSIT, value=7958}
Operation{accountId=1775, type=DEPOSIT, value=1067}
Operation{accountId=1299, type=DEPOSIT, value=6037}
Operation{accountId=3700, type=DEPOSIT, value=3042}
Operation{accountId=2257, type=DEPOSIT, value=1992}
Operation{accountId=4968, type=DEPOSIT, value=1497}
Operation{accountId=7324, type=DEPOSIT, value=2859}
Operation{accountId=7939, type=DEPOSIT, value=547}
Operation{accountId=4954, type=DEPOSIT, value=3615}
Operation{accountId=9753, type=DEPOSIT, value=9744}
Operation{accountId=1963, type=DEPOSIT, value=369}
Operation{accountId=6732, type=DEPOSIT, value=6908}
Operation{accountId=2401, type=DEPOSIT, value=2632}
Operation{accountId=1694, type=DEPOSIT, value=6085}
Operation{accountId=3999, type=DEPOSIT, value=2712}
Operation{accountId=2695, type=DEPOSIT, value=1386}
Operation{accountId=6268, type=DEPOSIT, value=1235}
Operation{accountId=7390, type=DEPOSIT, value=7422}
Operation{accountId=3284, type=DEPOSIT, value=191}
Operation{accountId=7704, type=DEPOSIT, value=6684}
Operation{accountId=6988, type=DEPOSIT, value=1347}
Operation{accountId=1147, type=DEPOSIT, value=2517}
Operation{accountId=1472, type=DEPOSIT, value=8043}
Operation{accountId=3246, type=DEPOSIT, value=69}
Operation{accountId=6746, type=DEPOSIT, value=1723}
Operation{accountId=7455, type=DEPOSIT, value=3123}
Operation{accountId=9921, type=DEPOSIT, value=6463}
Operation{accountId=3296, type=DEPOSIT, value=9127}
Operation{accountId=5484, type=DEPOSIT, value=8753}
Operation{accountId=2031, type=DEPOSIT, value=3558}
Operation{accountId=8097, type=DEPOSIT, value=4692}
Operation{accountId=8064, type=DEPOSIT, value=584}
Operation{accountId=6559, type=DEPOSIT, value=7453}
Operation{accountId=3689, type=DEPOSIT, value=7387}
Operation{accountId=7572, type=DEPOSIT, value=4258}
Operation{accountId=7098, type=DEPOSIT, value=4624}
Operation{accountId=860, type=DEPOSIT, value=4363}
Operation{accountId=9238, type=DEPOSIT, value=9139}
Operation{accountId=8231, type=DEPOSIT, value=164}
Operation{accountId=4099, type=DEPOSIT, value=8185}
Operation{accountId=7797, type=DEPOSIT, value=6228}
Operation{accountId=9370, type=DEPOSIT, value=4658}
Operation{accountId=8736, type=DEPOSIT, value=344}
Operation{accountId=9563, type=DEPOSIT, value=2653}
Operation{accountId=4262, type=DEPOSIT, value=4969}
Operation{accountId=5825, type=DEPOSIT, value=7195}
Operation{accountId=6146, type=DEPOSIT, value=5228}
Operation{accountId=6653, type=DEPOSIT, value=5611}
Operation{accountId=3638, type=DEPOSIT, value=7400}
Operation{accountId=9970, type=DEPOSIT, value=7845}
Operation{accountId=3223, type=DEPOSIT, value=4914}
Operation{accountId=8860, type=DEPOSIT, value=6706}
Operation{accountId=9301, type=DEPOSIT, value=788}
Operation{accountId=5053, type=DEPOSIT, value=872}
Operation{accountId=6614, type=DEPOSIT, value=3356}
Operation{accountId=4950, type=DEPOSIT, value=4468}
Operation{accountId=3614, type=DEPOSIT, value=7376}
Operation{accountId=382, type=DEPOSIT, value=2272}
Operation{accountId=8764, type=DEPOSIT, value=6976}
Operation{accountId=8402, type=DEPOSIT, value=9668}
Operation{accountId=5732, type=DEPOSIT, value=2148}
Operation{accountId=6633, type=DEPOSIT, value=5624}
Operation{accountId=804, type=DEPOSIT, value=9204}
Operation{accountId=2819, type=DEPOSIT, value=5608}
Operation{accountId=8374, type=DEPOSIT, value=4502}
Operation{accountId=9198, type=DEPOSIT, value=3120}
Operation{accountId=625, type=DEPOSIT, value=1954}
Operation{accountId=4436, type=DEPOSIT, value=9079}
Operation{accountId=4284, type=DEPOSIT, value=290}
Operation{accountId=5956, type=DEPOSIT, value=8552}
Operation{accountId=8608, type=DEPOSIT, value=3909}
Operation{accountId=1627, type=DEPOSIT, value=1530}
Operation{accountId=9481, type=DEPOSIT, value=4227}
Operation{accountId=5023, type=DEPOSIT, value=7026}
Operation{accountId=4697, type=DEPOSIT, value=2970}
Operation{accountId=1416, type=DEPOSIT, value=7791}
Operation{accountId=1417, type=DEPOSIT, value=9590}
Operation{accountId=4011, type=DEPOSIT, value=723}
Operation{accountId=5037, type=DEPOSIT, value=6704}
Operation{accountId=2916, type=DEPOSIT, value=5409}
Operation{accountId=1090, type=DEPOSIT, value=7197}
Operation{accountId=9008, type=DEPOSIT, value=2385}
Operation{accountId=4662, type=DEPOSIT, value=7927}
Operation{accountId=357, type=DEPOSIT, value=3041}
Operation{accountId=5940, type=DEPOSIT, value=5658}
Operation{accountId=2270, type=DEPOSIT, value=5862}
Operation{accountId=6315, type=DEPOSIT, value=1508}
Operation{accountId=2662, type=DEPOSIT, value=2512}
Operation{accountId=3563, type=DEPOSIT, value=7615}
Operation{accountId=6080, type=DEPOSIT, value=4939}
Operation{accountId=731, type=DEPOSIT, value=7467}
Operation{accountId=7841, type=DEPOSIT, value=5041}
Operation{accountId=8921, type=DEPOSIT, value=3844}
Operation{accountId=283, type=DEPOSIT, value=3229}
Operation{accountId=3535, type=DEPOSIT, value=8755}
Operation{accountId=5366, type=DEPOSIT, value=8699}
Operation{accountId=3374, type=DEPOSIT, value=9824}
Operation{accountId=9789, type=DEPOSIT, value=3372}
Operation{accountId=4698, type=DEPOSIT, value=9493}
Operation{accountId=8227, type=DEPOSIT, value=7925}
Operation{accountId=7810, type=DEPOSIT, value=6334}
Operation{accountId=3856, type=DEPOSIT, value=6390}
Operation{accountId=2106, type=DEPOSIT, value=2237}
Operation{accountId=9019, type=DEPOSIT, value=4408}
Operation{accountId=4567, type=DEPOSIT, value=666}
Operation{accountId=9558, type=DEPOSIT, value=3456}
Operation{accountId=8182, type=DEPOSIT, value=3767}
Operation{accountId=8433, type=DEPOSIT, value=7040}
Operation{accountId=6393, type=DEPOSIT, value=9585}
Operation{accountId=7036, type=DEPOSIT, value=221}
Operation{accountId=95, type=DEPOSIT, value=8338}
Operation{accountId=5564, type=DEPOSIT, value=5211}
Operation{accountId=8063, type=DEPOSIT, value=2676}
Operation{accountId=25, type=DEPOSIT, value=8804}
Operation{accountId=3329, type=DEPOSIT, value=192}
Operation{accountId=4258, type=DEPOSIT, value=4423}
Operation{accountId=4969, type=DEPOSIT, value=8453}
Operation{accountId=2989, type=DEPOSIT, value=6029}
Operation{accountId=2256, type=DEPOSIT, value=8452}
Operation{accountId=4175, type=DEPOSIT, value=951}
Operation{accountId=2273, type=DEPOSIT, value=6663}
Operation{accountId=2964, type=DEPOSIT, value=1540}
Operation{accountId=2653, type=DEPOSIT, value=3410}
Operation{accountId=9564, type=DEPOSIT, value=1919}
Operation{accountId=4300, type=DEPOSIT, value=5201}
Operation{accountId=6130, type=DEPOSIT, value=7076}
Operation{accountId=4529, type=DEPOSIT, value=7409}
Operation{accountId=1114, type=DEPOSIT, value=2851}
Operation{accountId=6648, type=DEPOSIT, value=5980}
Operation{accountId=471, type=DEPOSIT, value=9133}
Operation{accountId=4782, type=DEPOSIT, value=5756}
Operation{accountId=3446, type=DEPOSIT, value=6540}
Operation{accountId=4029, type=DEPOSIT, value=8720}
Operation{accountId=4298, type=DEPOSIT, value=6319}
Operation{accountId=83, type=DEPOSIT, value=7596}
Operation{accountId=4485, type=DEPOSIT, value=7682}
Operation{accountId=4510, type=DEPOSIT, value=6362}
Operation{accountId=8191, type=DEPOSIT, value=7804}
Operation{accountId=5414, type=DEPOSIT, value=7231}
Operation{accountId=9478, type=DEPOSIT, value=178}
Operation{accountId=935, type=DEPOSIT, value=3145}
Operation{accountId=7731, type=DEPOSIT, value=3065}
Operation{accountId=1193, type=DEPOSIT, value=2836}
Operation{accountId=6501, type=DEPOSIT, value=9417}
Operation{accountId=4862, type=DEPOSIT, value=7628}
Operation{accountId=60, type=DEPOSIT, value=1644}
Operation{accountId=3847, type=DEPOSIT, value=2844}
Operation{accountId=9651, type=DEPOSIT, value=4806}
Operation{accountId=7779, type=DEPOSIT, value=5749}
Operation{accountId=4651, type=DEPOSIT, value=1375}
Operation{accountId=533, type=DEPOSIT, value=1530}
Operation{accountId=8145, type=DEPOSIT, value=3867}
Operation{accountId=513, type=DEPOSIT, value=7128}
Operation{accountId=7723, type=DEPOSIT, value=1451}
Operation{accountId=4451, type=DEPOSIT, value=3459}
Operation{accountId=2180, type=DEPOSIT, value=9549}
Operation{accountId=3469, type=DEPOSIT, value=5932}
Operation{accountId=145, type=DEPOSIT, value=5070}
Operation{accountId=6107, type=DEPOSIT, value=7535}
Operation{accountId=5247, type=DEPOSIT, value=2879}
Operation{accountId=3923, type=DEPOSIT, value=9432}
Operation{accountId=763, type=DEPOSIT, value=453}
Operation{accountId=6206, type=DEPOSIT, value=5605}
Operation{accountId=4222, type=DEPOSIT, value=954}
Operation{accountId=9934, type=DEPOSIT, value=9831}
Operation{accountId=2803, type=DEPOSIT, value=3874}
Operation{accountId=7244, type=DEPOSIT, value=7634}
Operation{accountId=3367, type=DEPOSIT, value=6616}
Operation{accountId=8159, type=DEPOSIT, value=9748}
Operation{accountId=3547, type=DEPOSIT, value=8550}
Operation{accountId=8666, type=DEPOSIT, value=9266}
Operation{accountId=6056, type=DEPOSIT, value=6563}
Operation{accountId=9090, type=DEPOSIT, value=2318}
Operation{accountId=2097, type=DEPOSIT, value=7639}
Operation{accountId=3802, type=DEPOSIT, value=9445}
Operation{accountId=9758, type=DEPOSIT, value=2075}
Operation{accountId=9022, type=DEPOSIT, value=4293}
Operation{accountId=4058, type=DEPOSIT, value=6395}
Operation{accountId=7545, type=DEPOSIT, value=5659}
Operation{accountId=8378, type=DEPOSIT, value=8317}
Operation{accountId=2643, type=DEPOSIT, value=4618}
Operation{accountId=2647, type=DEPOSIT, value=1915}
Operation{accountId=9978, type=DEPOSIT, value=7592}
Operation{accountId=683, type=DEPOSIT, value=5483}
Operation{accountId=6507, type=DEPOSIT, value=4370}
Operation{accountId=1285, type=DEPOSIT, value=4769}
Operation{accountId=8221, type=DEPOSIT, value=992}
Operation{accountId=3912, type=DEPOSIT, value=3258}
Operation{accountId=7099, type=DEPOSIT, value=7363}
Operation{accountId=4102, type=DEPOSIT, value=2121}
Operation{accountId=5468, type=DEPOSIT, value=1243}
Operation{accountId=6884, type=DEPOSIT, value=1503}
Operation{accountId=9809, type=DEPOSIT, value=5541}
Operation{accountId=123, type=DEPOSIT, value=6995}
Operation{accountId=1354, type=DEPOSIT, value=8274}
Operation{accountId=1563, type=DEPOSIT, value=7329}
Operation{accountId=7749, type=DEPOSIT, value=83}
Operation{accountId=8923, type=DEPOSIT, value=7647}
Operation{accountId=5476, type=DEPOSIT, value=7951}
Operation{accountId=945, type=DEPOSIT, value=1978}
Operation{accountId=5049, type=DEPOSIT, value=4935}
Operation{accountId=3370, type=DEPOSIT, value=1551}
Operation{accountId=737, type=DEPOSIT, value=7009}
Operation{accountId=5847, type=DEPOSIT, value=4101}
Operation{accountId=2971, type=DEPOSIT, value=8080}
Operation{accountId=5925, type=DEPOSIT, value=9416}
Operation{accountId=3300, type=DEPOSIT, value=3429}
Operation{accountId=9287, type=DEPOSIT, value=177}
Operation{accountId=5424, type=DEPOSIT, value=7327}
Operation{accountId=5810, type=DEPOSIT, value=2672}
Operation{accountId=5510, type=DEPOSIT, value=6301}
Operation{accountId=8149, type=DEPOSIT, value=3244}
Operation{accountId=2696, type=DEPOSIT, value=1844}
Operation{accountId=9234, type=DEPOSIT, value=545}
Operation{accountId=6926, type=DEPOSIT, value=7549}
Operation{accountId=1790, type=DEPOSIT, value=8616}
Operation{accountId=4622, type=DEPOSIT, value=1910}
Operation{accountId=161, type=DEPOSIT, value=6052}
Operation{accountId=9050, type=DEPOSIT, value=1144}
Operation{accountId=8009, type=DEPOSIT, value=1704}
Operation{accountId=2439, type=DEPOSIT, value=264}
Operation{accountId=8546, type=DEPOSIT, value=871}
Operation{accountId=5205, type=DEPOSIT, value=8023}
Operation{accountId=5226, type=DEPOSIT, value=9043}
Operation{accountId=4239, type=DEPOSIT, value=2452}
Operation{accountId=756, type=DEPOSIT, value=9383}
Operation{accountId=7425, type=DEPOSIT, value=2194}
Operation{accountId=3628, type=DEPOSIT, value=9632}
Operation{accountId=5601, type=DEPOSIT, value=4484}
Operation{accountId=2305, type=DEPOSIT, value=438}
Operation{accountId=4956, type=DEPOSIT, value=3876}
Operation{accountId=9924, type=DEPOSIT, value=1112}
Operation{accountId=4078, type=DEPOSIT, value=4339}
Operation{accountId=3740, type=DEPOSIT, value=7349}
Operation{accountId=1293, type=DEPOSIT, value=7674}
Operation{accountId=9859, type=DEPOSIT, value=1943}
Operation{accountId=4834, type=DEPOSIT, value=911}
Operation{accountId=1392, type=DEPOSIT, value=7258}
Operation{accountId=2885, type=DEPOSIT, value=6580}
Operation{accountId=1442, type=DEPOSIT, value=4347}
Operation{accountId=9076, type=DEPOSIT, value=1386}
Operation{accountId=1573, type=DEPOSIT, value=3851}
Operation{accountId=2687, type=DEPOSIT, value=9667}
Operation{accountId=1988, type=DEPOSIT, value=2467}
Operation{accountId=7667, type=DEPOSIT, value=404}
